Hashtag,Title,Publication Date,Link,processed_timestamp,production_url,data_source
#bangladeshhindus,Bangladesh Hindus | Second Hindu Priest Arrested In Bangladesh Amid Protests: ISKCON Member | N18G,2024-12-23,https://www.youtube.com/watch?v=ClvOoogEfAY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindu Viral Video: बांग्लादेश में 'हिंदू ख़तरे में हैं | #ytshots,2024-08-25,https://www.youtube.com/watch?v=3bRpVu1_iag,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Violence: RSS Urges Centre To 'Mobilise Global Support' For Hindus In Bangladesh,2024-12-23,https://www.youtube.com/watch?v=zm1eME90GJo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,The Verbal Paralysis of Hindus #bangladesh #hinduism #hindu,2024-09-24,https://www.youtube.com/watch?v=IRbTd2Y9nrY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,BJP Spokesperson Nupur Sharma Joined A Protest Over Atrocities Against Bangladesh Hindus,2024-08-25,https://www.youtube.com/watch?v=n92Uo-y6728,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindu groups in Bangladesh protest attacks on minorities #shorts,2024-08-25,https://www.youtube.com/watch?v=XW7-QmGOWiw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindus Mull Canceling Durga Puja, Massive Protest In Dhaka | WION",2024-10-24,https://www.youtube.com/watch?v=nMzSV0H8pZU,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,MP Priti Patel Raises Concern Over Attacks On Hindus In Bangladesh In UK Parliament,2024-12-23,https://www.youtube.com/watch?v=KCZJeKpvlm0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Arrest of Hindu Monk in Bangladesh #bangladesh #hindus #monk #isckon,2024-12-23,https://www.youtube.com/watch?v=1bA0ch4NQ-U,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Mary Millben Calls For Global Condemnation Of Attacks On Hindus In Bangladesh | India Today,2024-12-23,https://www.youtube.com/watch?v=uSXOAbSloeQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
